Component,Value,Footprint,Header Type
C1,10pF,SM0805,
C2,10pF,SM0805,
C3,100nF,SM0805,
C4,100nF,SM0805,
C5,100nF,SM0805,
C6,100nF,SM0805,
C7,100nF,SM0805,
C8,1uF,SM0805,
C9,1uF,SM0805,
CON1,ISP,pin_array_3x2,Male
D1,STATUS,LED-0805,
IC1,ATMEGA32-A,TQFP44,
P1,HC-05,PIN_ARRAY-6X1,Female
P2,NRF24L01+,pin_array_4x2,Female
P3,SERIAL,PIN_ARRAY_3X1,Male
P4,LCD1,PIN_ARRAY_20X1,
P5,LCD2,PIN_ARRAY_20X1,Female
P6,POWER,terminal-282836-3,Female
Q1,BTEN,SOT23,
R1,1000,SM0805,
R2,1000,SM0805,
R3,2000,SM0805,
R4,4700,SM0805,
R5,90,SM0805,
SW1,RESET,SW_PUSH_SMALL,
U1,LP5907,SOT23-5,
X1,16MHz,2-SMD,
